title@Titel van het evenement
sendInvites@Uitnodigingen verzenden
participantsLabel@Deelnemers
expensesLabel@Uitgaven
addExpense@Kosten toevoegen
settleDebts@Schulden aflossen
all@Alle
from@Van
including@Inbegrepen
